HORA,IDADE,SEXO,TIPO,ARMA,CIDADE
15,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
19,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
21,28,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SÃO SEBASTIÃO
22,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
0,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,PASSO DE CAMARAGIBE
5,47,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,DELMIRO GOUVEIA
15,38,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
17,39,MASCULINO,HOMICÍDIO DOLOSO,PAF,MURICI
18,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
19,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO LUÍS DO QUITUNDE
4,37,FEMININO,HOMICÍDIO DOLOSO,PAF,DOIS RIACHOS
9,27,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,SÃO LUÍS DO QUITUNDE
15,32,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,IBATEGUARA
15,32,FEMININO,FEMINICÍDIO,PAF,PENEDO
21,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,BOCA DA MATA
5,29,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA TAPERA
9,17,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
16,38,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MARAGOGI
16,16,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SANTANA DO MUNDAÚ
17,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,SANTANA DO IPANEMA
19,19,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,RIO LARGO
11,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,COLÔNIA LEOPOLDINA
18,26,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
23,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,PARIPUEIRA
23,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
23,21,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,BRANQUINHA
0,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
9,30,MASCULINO,HOMICÍDIO DOLOSO,PAF,OLHO D ÁGUA DO CASADO
15,39,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MURICI
16,36,MASCULINO,HOMICÍDIO DOLOSO,PAF,PALMEIRA DOS ÍNDIOS
18,38,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,ARAPIRACA
19,22,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,MACEIÓ
20,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
1,37,MASCULINO,ROUBO COM RESULTADO MORTE,BRANCA,TEOTÔNIO VILELA
2,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,COLÔNIA LEOPOLDINA
11,46,MASCULINO,HOMICÍDIO DOLOSO,PAF,PORTO CALVO
21,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
5,48,FEMININO,HOMICÍDIO DOLOSO,ESPANCADO,PALMEIRA DOS ÍNDIOS
19,25,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,GIRAU DO PONCIANO
23,27,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,PÃO DE AÇÚCAR
20,24,MASCULINO,HOMICÍDIO DOLOSO,PAF,IGREJA NOVA
22,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
3,34,MASCULINO,RESISTÊNCIA COM RESULTADO MORTE,PAF,MACEIÓ
12,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
13,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,PORTO CALVO
13,30,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,RIO LARGO
16,61,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
20,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
20,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,PILAR
21,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,JEQUIÁ DA PRAIA
6,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
6,33,MASCULINO,HOMICÍDIO DOLOSO,PAF,MURICI
15,70,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,UNIÃO DOS PALMARES
15,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAMPO ALEGRE
6,37,MASCULINO,HOMICÍDIO DOLOSO,PAF,MATRIZ DE CAMARAGIBE
14,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
14,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,BARRA DE SÃO MIGUEL
17,19,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,FEIRA GRANDE
17,44,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,IGACI
19,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
0,38,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,QUEBRANGULO
9,34,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
10,26,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
15,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
19,48,MASCULINO,HOMICíDIO DOLOSO,PAF,CAMPO GRANDE
20,21,MASCULINO,HOMICíDIO DOLOSO,BRANCA,IBATEGUARA
21,40,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
1,26,MASCULINO,HOMICíDIO DOLOSO,BRANCA,MARAVILHA
7,22,MASCULINO,HOMICíDIO DOLOSO,BRANCA,FLEXEIRAS
10,30,MASCULINO,HOMICíDIO DOLOSO,PAF,UNIÃO DOS PALMARES
12,20,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
14,28,MASCULINO,HOMICíDIO DOLOSO,PAF/B,IGREJA NOVA
20,27,MASCULINO,HOMICíDIO DOLOSO,BRANCA,GIRAU DO PONCIANO
0,22,MASCULINO,HOMICíDIO DOLOSO,CARBONIZADO,SÃO JOSÉ DA TAPERA
0,27,MASCULINO,HOMICíDIO DOLOSO,PAF,PAULO JACINTO
4,48,MASCULINO,HOMICíDIO DOLOSO,QUEIMADURA,PENEDO
6,24,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
20,16,MASCULINO,HOMICíDIO DOLOSO,PAF,IBATEGUARA
20,49,MASCULINO,HOMICíDIO DOLOSO,PAF,PILAR
20,27,MASCULINO,HOMICíDIO DOLOSO,PAF,PILAR
21,23,MASCULINO,HOMICíDIO DOLOSO,PAF,IBATEGUARA
21,21,MASCULINO,HOMICíDIO DOLOSO,PAF,MACEIÓ
3,22,MASCULINO,HOMICíDIO DOLOSO,PAF,PILAR
17,37,MASCULINO,HOMICíDIO DOLOSO,PAF,PILAR
